datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunriseEpoch,sunsetEpoch,moonphase,tempRange,heatIndex,severityScore,month,dayOfWeek,isWeekend,healthRiskScore,airQualityOptimized
1725692400,106.1,91.0,98.5,104.0,88.1,95.9,51.5,21.0,0.0,5.0,0.0,26.3,13.7,107.3,1009.2,25.0,10.0,261.4,22.5,9.0,10.0,1725714410,1725759893,0.16,15.1,95.92,4.43,9,2,True,10.52,0.46784521066096585
1725681822,91.73,74.13,81.96,89.68,72.87,81.21,58.94,52.84,0.01,2.98,-0.38,29.35,18.29,22.15,1014.74,4.09,9.87,283.73,24.39,8.91,10.42,1725749687,1725842528,0.13,19.19,81.95,4.65,9,2,True,10.7,0.4271348092867518
1725632581,73.02,63.37,69.0,72.7,62.75,70.63,61.3,78.17,0.4,97.9,25.02,22.31,13.74,250.35,1011.25,77.08,9.85,125.44,11.82,4.8,9.92,1725732283,1725762265,0.13,11.26,70.53,3.34,9,2,True,9.85,0.535398255451364
1725692400,85.0,72.9,78.6,87.8,72.9,79.7,68.4,72.3,0.0,7.0,0.0,15.0,8.1,246.4,1008.7,50.5,9.6,229.2,19.7,8.0,10.0,1725715658,1725761086,0.16,12.1,80.98,3.1,9,2,True,10.34,0.7554575563940817
1725716396,103.3,74.19,85.79,102.63,75.29,84.95,62.45,48.21,-0.01,0.81,-1.94,6.28,5.84,233.05,1007.47,14.93,9.94,268.51,23.17,8.96,11.06,1725758844,1725743102,0.19,28.36,88.4,2.51,9,2,True,9.93,0.5304565671962458
1725624159,73.31,63.97,69.17,72.09,63.24,67.48,61.7,78.86,0.39,102.73,25.17,23.37,14.17,256.75,1010.66,78.29,10.2,129.25,11.41,5.06,10.31,1725693621,1725710943,0.14,10.35,70.08,3.28,9,2,True,9.72,0.5901072632434526
1725731004,106.09,91.64,97.86,105.06,89.37,95.11,52.21,17.67,0.01,3.81,0.05,26.33,13.45,119.25,1009.02,27.22,10.2,256.91,22.36,9.27,8.75,1725692154,1725760117,0.15,15.25,95.61,4.32,9,2,True,10.47,0.5171182064749653
1725663296,62.98,50.7,55.55,64.78,50.56,58.1,42.66,59.26,-0.01,4.15,-0.16,26.06,17.78,342.34,1022.24,15.76,10.11,191.3,16.26,8.04,9.18,1725684207,1725713400,0.14,12.16,83.58,4.3,9,2,True,10.81,0.15961336116662247
1725685200,88.1,70.0,78.1,90.0,70.0,78.9,65.9,68.2,0.0,4.0,0.0,32.8,18.3,22.4,1013.4,41.6,10.0,188.8,16.1,9.0,10.0,1725710532,1725755758,0.15,18.1,80.09,5.08,9,2,True,11.47,0.4983437710243817
1725630609,105.45,76.5,85.0,102.68,74.42,85.01,61.97,47.14,0.0,3.45,-0.06,7.21,6.16,238.93,1008.57,7.63,9.95,255.4,23.41,8.92,10.43,1725736324,1725744492,0.15,27.47,87.06,2.56,9,2,True,9.89,0.7064476943838272
1725719256,84.85,72.28,78.58,87.39,73.35,79.93,69.85,72.6,0.01,7.4,0.06,15.24,8.05,245.28,1008.06,47.97,9.65,232.95,18.61,8.02,9.37,1725704808,1725794910,0.16,11.32,80.52,3.16,9,2,True,10.31,0.6462638093554854
