datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,pm2.5,no2,co2,dew,humidity,precip,precipprob,precipcover,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunriseEpoch,sunsetEpoch,moonphase,tempRange,heatIndex,severityScore,month,dayOfWeek,isWeekend,healthRiskScore
1725692400,106.10,91.00,98.50,104.00,88.10,95.90,38.56,22.62,439.01,51.50,21.00,0.00,5.00,0.00,26.30,13.70,107.30,1009.20,25.00,10.00,261.40,22.50,9.00,10.00,1725714410,1725759893,0.16,15.10,95.92,4.43,9,2,TRUE,10.52
1725681822,91.73,74.13,81.96,89.68,72.87,81.21,27.40,24.64,451.22,58.94,52.84,0.01,2.98,-0.38,29.35,18.29,22.15,1014.74,4.09,9.87,283.73,24.39,8.91,10.42,1725749687,1725842528,0.13,19.19,81.95,4.65,9,2,TRUE,10.70
1725632581,73.02,63.37,69.00,72.70,62.75,70.63,32.12,25.46,477.08,61.30,78.17,0.40,97.90,25.02,22.31,13.74,250.35,1011.25,77.08,9.85,125.44,11.82,4.80,9.92,1725732283,1725762265,0.13,11.26,70.53,3.34,9,2,TRUE,9.85
1725692400,85.00,72.90,78.60,87.80,72.90,79.70,36.27,39.94,488.41,68.40,72.30,0.00,7.00,0.00,15.00,8.10,246.40,1008.70,50.50,9.60,229.20,19.70,8.00,10.00,1725715658,1725761086,0.16,12.10,80.98,3.10,9,2,TRUE,10.34
1725716396,103.30,74.19,85.79,102.63,75.29,84.95,29.63,30.12,461.76,62.45,48.21,-0.01,0.81,-1.94,6.28,5.84,233.05,1007.47,14.93,9.94,268.51,23.17,8.96,11.06,1725758844,1725743102,0.19,28.36,88.40,2.51,9,2,TRUE,9.93
1725624159,73.31,63.97,69.17,72.09,63.24,67.48,37.90,29.32,462.03,61.70,78.86,0.39,102.73,25.17,23.37,14.17,256.75,1010.66,78.29,10.20,129.25,11.41,5.06,10.31,1725693621,1725710943,0.14,10.35,70.08,3.28,9,2,TRUE,9.72
1725731004,106.09,91.64,97.86,105.06,89.37,95.11,32.94,30.67,441.87,52.21,17.67,0.01,3.81,0.05,26.33,13.45,119.25,1009.02,27.22,10.20,256.91,22.36,9.27,8.75,1725692154,1725760117,0.15,15.25,95.61,4.32,9,2,TRUE,10.47
1725663296,62.98,50.70,55.55,64.78,50.56,58.10,11.74,15.59,434.39,42.66,59.26,-0.01,4.15,-0.16,26.06,17.78,342.34,1022.24,15.76,10.11,191.30,16.26,8.04,9.18,1725684207,1725713400,0.14,12.16,83.58,4.30,9,2,TRUE,10.81
1725685200,88.10,70.00,78.10,90.00,70.00,78.90,35.39,21.96,466.26,65.90,68.20,0.00,4.00,0.00,32.80,18.30,22.40,1013.40,41.60,10.00,188.80,16.10,9.00,10.00,1725710532,1725755758,0.15,18.10,80.09,5.08,9,2,TRUE,11.47
1725630609,105.45,76.50,85.00,102.68,74.42,85.01,36.99,38.63,471.11,61.97,47.14,0.00,3.45,-0.06,7.21,6.16,238.93,1008.57,7.63,9.95,255.40,23.41,8.92,10.43,1725736324,1725744492,0.15,27.47,87.06,2.56,9,2,TRUE,9.89
1725719256,84.85,72.28,78.58,87.39,73.35,79.93,32.33,31.85,493.64,69.85,72.60,0.01,7.40,0.06,15.24,8.05,245.28,1008.06,47.97,9.65,232.95,18.61,8.02,9.37,1725704808,1725794910,0.16,11.32,80.52,3.16,9,2,TRUE,10.31
1725655206,89.55,62.22,74.64,90.32,63.00,73.32,43.70,32.15,474.62,60.29,70.54,-0.01,3.19,-1.00,16.69,9.05,318.09,1012.36,10.37,10.12,269.90,24.07,8.82,10.56,1725673373,1725773490,0.14,27.52,76.29,3.39,9,2,TRUE,9.91
1725654384,75.50,61.53,69.37,77.14,61.89,69.87,33.83,31.20,465.30,62.72,79.19,0.11,96.45,16.52,20.22,12.36,257.68,1011.65,82.85,9.57,100.77,9.88,5.28,9.86,1725767110,1725774607,0.16,14.68,70.84,3.11,9,2,TRUE,9.60
1725692400,103.00,75.00,86.20,103.10,75.00,86.20,31.72,37.08,435.45,61.50,48.30,0.00,3.00,0.00,6.90,5.80,237.00,1008.40,11.30,10.00,261.50,22.70,9.00,10.00,1725715868,1725761394,0.16,28.00,87.70,2.49,9,2,TRUE,9.97
